id;name;level;picture;picture_content_type;jhi_order
1;mobile Grocery;10011;../fake-data/blob/hipster.png;image/png;996
2;generate;34026;../fake-data/blob/hipster.png;image/png;20320
3;SCSI disintermediate;90493;../fake-data/blob/hipster.png;image/png;88386
4;deploy;77793;../fake-data/blob/hipster.png;image/png;23083
5;payment Vermont Sleek Soft Hat;85093;../fake-data/blob/hipster.png;image/png;26410
6;turquoise Global;42695;../fake-data/blob/hipster.png;image/png;91328
7;Paradigm Central Markets;81104;../fake-data/blob/hipster.png;image/png;41637
8;web-enabled;34883;../fake-data/blob/hipster.png;image/png;80470
9;invoice Hryvnia Cross-group;10522;../fake-data/blob/hipster.png;image/png;64429
10;Licensed Cotton Bacon;82944;../fake-data/blob/hipster.png;image/png;36385
